Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,0,22,0,6,1,0,4,4,4
1,1,38,1,3,,1,3,4,1
1,1,67,1,3,1,0,1,6,2
0,1,67,1,8,0,2,2,6,2
1,1,40,1,4,,2,6,6,1
0,1,56,0,1,0,1,2,6,3
0,0,32,1,6,1,0,3,6,3
1,0,33,1,6,1,0,3,6,4
1,1,61,1,3,0,0,3,7,4
1,1,55,1,1,1,1,4,6,3
1,0,26,1,3,1,0,3,6,1
0,0,19,0,6,4,0,4,4,4
1,0,19,0,5,0,0,,3,4
0,1,70,0,8,,0,1,6,1
1,1,58,0,2,0,0,1,3,2
1,0,41,0,6,1,0,2,1,3
1,0,32,0,7,9,0,5,3,4
0,0,31,0,6,1,0,6,6,2
0,1,58,1,4,1,1,4,6,2
1,1,79,1,1,0,2,1,6,3
0,1,49,1,7,12,0,1,3,1
1,0,18,0,6,3,0,4,6,4
0,1,33,1,1,13,0,2,3,1
1,0,36,1,1,5,0,2,6,2
1,,58,0,5,1,1,3,3,2
0,1,56,0,1,1,1,3,6,3
0,0,31,0,6,9,0,8,4,1
0,1,49,1,1,1,1,3,6,3
0,0,35,1,1,0,0,1,6,2
1,0,35,0,1,5,0,4,6,3
1,1,45,1,1,0,0,3,6,3
1,1,42,0,2,1,0,2,4,1
0,0,19,0,6,1,0,3,2,4
0,0,26,0,7,9,0,,6,4
1,1,83,0,8,1,2,2,6,4
1,0,27,1,6,3,0,4,1,4
0,0,32,0,2,5,0,1,4,4
1,1,28,0,6,1,1,5,3,4
1,1,28,1,1,8,0,2,6,1
0,1,56,1,1,,1,2,6,3
1,0,47,1,1,4,0,1,6,2
1,0,22,0,6,0,0,2,6,4
1,0,27,1,1,14,0,3,6,1
1,1,49,1,1,1,0,2,,3
0,1,40,0,3,8,0,1,6,1
1,1,79,0,8,,2,2,6,1
0,1,41,1,1,0,1,4,4,2
1,0,29,1,6,,0,1,7,1
0,0,19,0,6,0,0,4,6,4
1,0,45,1,3,1,0,1,6,1
1,1,61,0,1,1,1,2,2,2
1,1,36,1,1,1,1,2,6,3
0,1,40,1,1,1,0,1,3,1
1,1,57,1,4,0,1,2,6,3
0,1,76,0,9,1,0,1,4,1
0,1,32,1,1,14,1,2,6,2
0,0,25,1,6,9,0,4,6,4
0,0,32,,2,8,0,2,6,4
1,1,45,1,1,1,1,3,3,3
0,1,72,1,8,1,0,,4,4
0,1,48,1,1,0,1,2,6,3
0,1,55,1,1,9,1,2,1,3
0,1,74,1,8,0,2,3,6,4
0,1,56,1,8,1,2,2,6,1
0,1,59,1,8,7,2,2,6,1
0,0,25,1,4,0,0,2,6,1
0,1,31,1,2,0,1,2,6,1
0,0,27,0,1,8,0,4,6,1
0,1,57,1,1,0,1,4,6,2
1,1,39,1,7,,2,2,6,1
0,1,27,1,6,8,0,2,6,4
1,1,51,1,4,8,1,2,6,1
1,1,47,0,1,0,1,5,6,2
1,0,33,0,6,8,0,4,6,4
0,1,56,1,1,0,1,4,6,3
1,0,33,0,7,0,0,3,6,2
1,0,36,1,2,0,0,2,6,4
0,1,51,0,1,4,0,3,4,1
0,1,45,1,3,2,1,2,6,3
1,0,49,1,,1,0,1,6,4
0,0,30,0,6,0,0,4,6,3
1,0,26,0,6,6,0,3,5,4
0,1,63,1,1,8,0,1,6,1
0,1,35,0,4,8,1,4,3,2
1,0,19,0,9,1,0,3,4,1
0,0,32,0,6,7,0,5,6,4
0,1,52,1,1,0,1,3,6,3
1,1,36,1,1,5,0,2,6,3
1,0,42,0,4,7,0,3,4,4
0,1,40,0,2,0,1,2,3,4
0,0,39,1,4,0,0,3,1,2
1,1,47,1,1,1,1,4,3,3
1,1,61,1,1,1,2,2,6,3
0,1,32,0,4,1,0,2,3,4
0,1,55,0,1,0,0,1,6,2
0,1,58,1,1,,1,1,6,4
1,0,38,1,1,0,0,1,6,4
0,1,63,1,1,0,2,2,6,3
0,1,58,1,2,1,1,2,6,3
0,1,30,0,3,3,1,3,4,4
0,1,60,1,1,0,1,4,6,3
0,1,68,0,5,1,2,7,6,2
0,1,52,0,1,0,0,3,4,1
0,1,38,0,5,0,2,5,6,1
1,1,35,1,6,10,0,2,6,2
0,0,18,0,2,1,0,2,6,4
0,1,30,1,7,3,0,2,1,4
0,0,86,0,8,1,0,1,6,4
1,,19,0,6,6,0,5,3,4
0,0,25,0,6,9,0,3,6,4
0,1,59,1,4,,0,4,4,1
1,0,39,1,1,0,0,1,6,1
1,1,50,1,2,1,0,,6,2
0,0,47,1,1,1,0,1,6,3
0,1,43,1,5,0,2,3,6,4
0,1,36,0,5,8,1,4,1,2
0,1,80,0,8,1,0,1,6,4
0,0,36,1,1,0,0,2,2,3
0,0,27,0,,2,0,7,4,4
1,1,37,1,1,1,2,2,7,1
0,1,46,1,5,0,2,3,6,3
0,1,55,0,5,1,2,4,3,2
1,1,47,0,3,9,1,4,4,2
1,0,28,1,6,1,0,3,3,4
0,1,39,0,4,9,0,2,3,4
1,1,27,0,9,1,0,2,6,1
1,1,42,0,3,0,0,,6,1
0,1,72,1,1,0,1,2,6,3
1,1,28,1,3,0,0,2,6,1
0,0,35,1,4,8,0,5,6,3
0,1,39,1,5,9,2,5,2,1
1,1,69,1,8,0,2,2,6,3
0,0,18,0,6,6,0,4,4,4
0,1,46,1,1,,0,1,6,1
1,1,50,1,3,1,2,2,4,2
0,0,30,0,5,5,0,5,6,1
1,0,41,0,1,,0,2,6,2
1,0,39,1,1,3,0,4,6,4
1,0,29,0,9,8,0,4,6,4
1,1,37,1,1,4,0,4,5,2
1,1,39,1,3,0,1,2,6,1
1,1,48,1,1,0,1,5,7,3
1,0,32,1,2,0,0,3,6,3
0,1,78,0,8,1,0,,6,2
1,1,43,0,3,0,1,5,4,2
0,0,29,0,9,8,0,5,6,3
1,1,28,0,3,9,1,2,4,1
0,1,80,1,8,1,0,1,6,2
1,0,28,1,6,7,0,4,6,4
